"VAR"	"LABEL"	"TYPE"	"INPUT"	"QUESTION"
"CASE"	"Interview number (ongoing)"	"METRIC"	"SYSTEM"	
"SERIAL"	"Serial number (if provided)"	"TEXT"	"SYSTEM"	
"REF"	"Reference (if provided in link)"	"TEXT"	"SYSTEM"	
"QUESTNNR"	"Questionnaire that has been used in the interview"	"TEXT"	"SYSTEM"	
"MODE"	"Interview mode"	"TEXT"	"SYSTEM"	
"STARTED"	"Time the interview has started (Europe/Berlin)"	"TIME"	"SYSTEM"	
"I001_01"	"prolific id: ID"	"TEXT"	"OPEN"	"What is your Prolific ID?"
"I002_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I002"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I003_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I003"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I004_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I004"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I005_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I005"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I006_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I006"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I007_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I007"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I008_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I008"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I009_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I009"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I010_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I010"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I011_CP"	"assign to group: Complete clearances of the ballot, yet"	"METRIC"	"MEASURED"	""
"I011"	"assign to group: Code drawn"	"METRIC"	"MEASURED"	""
"I014_01"	"pro-id-auto: proid"	"TEXT"	"UNDEFINED"	""
"I015"	"believer"	"NOMINAL"	"SELECTION"	"Based on the definition above, do you believe in climate change?"
"AA01"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Harvey Norman reckons climate change is bunkum because his mates who own coal companies need people to buy polluting stuff"
"AA02"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Help save the Sasquatch and nip global warming in the bud!"
"AA03"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Are these the same computer models that predict climate change? I'm not worried."
"AA04"	"climate change tweet"	"NOMINAL"	"SELECTION"	"No global warming! It is just climate change..."
"AA05"	"climate change tweet"	"NOMINAL"	"SELECTION"	"yeah someone tell me global warming is not a thing and ill slap a bitch"
"AA06"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Was it the global warming computer that predicted we’d all be frozen hulks by now?"
"AA07"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Correction: how Republicans relate to climate change. The word ""elites"" doesn't have any meaning whatsoever."
"AA08"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I shop at Kmart and I care about climate change"
"AA09"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Your hair is going to cause global warming. It is bright as the sun."
"AA10"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Facing $17 Billion in Fire Damages, a CEO Blames Climate Change - Bloomberg"
"AA11"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Why is there 3 billion too many people and why does climate change have anything to do with it? Just asking 🤔"
"AA12"	"climate change tweet"	"NOMINAL"	"SELECTION"	"How much will reducing our 1.3% of global carbon change the climate? Please remind me."
"AA13"	"climate change tweet"	"NOMINAL"	"SELECTION"	"It's like they're hoping climate change extreme weather will kill most if not all off by then."
"AA14"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Grouse industry seems to burying its head in the sand over climate change..."
"AA15"	"climate change tweet"	"NOMINAL"	"SELECTION"	"there is no such thing as climate change scientists get richer from this bull shit and lies they tell"
"AA16"	"climate change tweet"	"NOMINAL"	"SELECTION"	"You can defeat terrorists. You can do FA about the primary factors driving climate change"
"AA17"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The climate hoax, agenda for a brainwashed audience 🤮"
"AA18"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Me too Kristina - Kmart in Queanbeyan and I care about climate change :o)"
"AA19"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What beautiful woman or successful man can we get to go tell Trump about the reality of climate change?"
"AA20"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I will make Mexico sends its people, they’re small, something else to myself right now, we need global warming! I’ve said"
"AA21"	"climate change tweet"	"NOMINAL"	"SELECTION"	"So basically if wars and all the issues we have don't end us, global warming will 🎊"
"AA22"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#Fossil industry next #climatechange"
"AA23"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I was in Kmart yesterday but my needing new coathangers and a wok did not change my views on climate change."
"AA24"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming is attacking more than ever in all continents. We, must be prepared to face higher temperatures to come."
"AA25"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Does anyone think global warming is a good thing? I love Lady Gaga. I think she's a really interesting artist."
"AA26"	"climate change tweet"	"NOMINAL"	"SELECTION"	"38 degree weather at 10am. Maybe we really should start talking about #ClimateChange?"
"AA27"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#climatechangeIsReal"
"AA28"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming starts when he dies."
"AA29"	"climate change tweet"	"NOMINAL"	"SELECTION"	"California Blaming ""Climate Change"" for all their fires. The ONLY CLIMATE that NEEDS to CHANGE is in SACRAMENTO!!!"
"AA30"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Will #SpaceForce faze out NASA and overlook NASAs #climatechange work.. probably"
"AA31"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Multilateralism highly needed because global challenges like climate change, terrorism require acollective response:"
"AA32"	"climate change tweet"	"NOMINAL"	"SELECTION"	"It’s all part of the Global warming ponzi scheme"
"AA33"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I shop in Kmart, and I care about climate change agreements. You really are a buffoon."
"AA34"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Blocking sunlight to cool Earth won't reduce crop damage from global warming #bloggingn Wish a beautiful week ahead"
"AA35"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Yep, tRumpy doesn’t think there’s global warming."
"AA36"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Oh great, as if we need anti ageing in a world affected by overcrowding and global warming."
"AA37"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Mojave Desert birds crashed over the last century due to climate change #nature Wish a beautiful week ahead"
"AA38"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#climatechange will make stories like this more common as rising tides and more extreme weather events become the norm"
"AA39"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Everything is under global warming"
"AA40"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Stirring trouble?? You sacrifice Australians for the sake of changing... NOTHING?? #auspol #climatechange"
"AA41"	"climate change tweet"	"NOMINAL"	"SELECTION"	"It cost you 00.00 to keep your environment clean... #ClimateChange #environment #tanzaniaenvironmental #"
"AA42"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Yep. I shop at Kmart and I fucking detest Bananaby and Truffles and I CARE ABOUT #climatechange #ClimateChangeIsReal"
"AA43"	"climate change tweet"	"NOMINAL"	"SELECTION"	"There is no common sense anyone can attach to climate change & global deniers. Just stupidity!"
"AA44"	"climate change tweet"	"NOMINAL"	"SELECTION"	"in your opinion what countries are attempting to mitigate the effects of climate change and what countries are ignoring them?"
"AA45"	"climate change tweet"	"NOMINAL"	"SELECTION"	"would someone like to offer me a funded phd on climate change, wellbeing and digital art? #phd #askingtheuniverse #wishing"
"AA46"	"climate change tweet"	"NOMINAL"	"SELECTION"	"That's not to say you can't explore contemporary issues, like say infertility, disability, genocide, patriarchies and climate change, etc."
"AA47"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I shopped at KMArt last week for toys for kids birthday party and I care deeply about climate change."
"AA48"	"climate change tweet"	"NOMINAL"	"SELECTION"	"But he also denies global warming. Consistently ignores evidence."
"AA49"	"climate change tweet"	"NOMINAL"	"SELECTION"	"is reversing #NWO #Deepstate #soros #Alinsky strategic plan."
"AA50"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Thinking about climate change gives me suicidal thoughts"
"AA51"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change hoax. Jog on."
"AA52"	"climate change tweet"	"NOMINAL"	"SELECTION"	"how does one get to the interview you did with Dr. Catherine Sutherland on ""Have your say: D-day for Climate Change Bill""?"
"AA53"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Put it this way, there's still people on the news denying climate change :D"
"AA54"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming!!"
"AA55"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I agree about elites and climate change, but I feel the metaphor is off."
"AA56"	"climate change tweet"	"NOMINAL"	"SELECTION"	"And the lefties keep going on about ""global warming"". Not round ere mate!"
"AA57"	"climate change tweet"	"NOMINAL"	"SELECTION"	"If only Doom Guy were here. He would just fucking murder climate change and be done with it."
"AA58"	"climate change tweet"	"NOMINAL"	"SELECTION"	"""How is it possible to worry about global warming and not be pro-nuclear?"" - that is the question, indeed."
"AA59"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change 😶"
"AA60"	"climate change tweet"	"NOMINAL"	"SELECTION"	"GLOBAL WARMING was caused by"
"AA61"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What if pensioners die in climate change heatwave ? #qanda"
"AA62"	"climate change tweet"	"NOMINAL"	"SELECTION"	"We are blessed with climate change deniers... pfft #qanda"
"AA63"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What good is cheap energy if we’re all dead from climate change? #QandA"
"AA64"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Two words #climatechange #qanda"
"AA65"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change could kill us all off. Does the hard right not understand the precautionary principle #QandA"
"AA66"	"climate change tweet"	"NOMINAL"	"SELECTION"	"About that whole using global warming to enslave humanity thing."
"AA67"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Pensioners won't be here when we all fry due to #climatechange #qanda"
"AA68"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Putting our Pensioners first is no good if their Grandchildren cannot live because of climate change #QandA"
"AA69"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The LNP can’t even admit the fact of climate change. #QandA"
"AA70"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#QandA Anthropogenic climate change says Eric Abetz, need to Google that later.."
"AA71"	"climate change tweet"	"NOMINAL"	"SELECTION"	"How can we address the effects of climate change on communities of color? - Miami Herald"
"AA72"	"climate change tweet"	"NOMINAL"	"SELECTION"	"There are members in parliament that need training on #climatechange to understand that it's not fiction #QandA"
"AA73"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Every time we delay any spending to mitigate climate change now, adds cost to dealing with its effects in the future #qanda"
"AA74"	"climate change tweet"	"NOMINAL"	"SELECTION"	"It's refreshing to have a dinosaur explain climate change to all of you. #QandA"
"AA75"	"climate change tweet"	"NOMINAL"	"SELECTION"	"When land clearing doesn't influence climate change... yah, nah."
"AA76"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Imagine a state owned energy system AND a state owned vision to address climate change. #qanda"
"AA77"	"climate change tweet"	"NOMINAL"	"SELECTION"	"That explains Eric’s, voice wobble while delivering the phrase “anthropogenic climate change”!"
"AA78"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Oh please the LNP are still work from the Tony Abbott scraped of lies and climate change denial. #QandA"
"AA79"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Our electricity prices have nothing to do with renewables and (non) action on climate change and everything to do with privatisation! #qanda"
"AA80"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#NEG is a kindergarten version of #climatechange NEG is made by dummies #qanda"
"AB01"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Anne Aly making the case that the biggest risk facing Australia on climate change is the COALition's joint partyroom. Onya, Anne! #QandA"
"AB02"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Discuss it all, every option and then do SOMETHING #qanda on climate change"
"AB03"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#QandA Eric Abetz - what about Global Warming?"
"AB04"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#QandA Why does Abetz want to stop climate change but encourages logging Tasmanian old growth forests?"
"AB05"	"climate change tweet"	"NOMINAL"	"SELECTION"	"How about the reality of climate change?"
"AB06"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Breathtaking view around our (lack of) climate change responsibilities. Kids get it - why don't pollies #qanda"
"AB07"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#ClimateChange is REAL! ANY politician who denies that, should be kicked out of Parliament! #QandA"
"AB08"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#qanda having a national energy policy that doesn't address climate change is a complete lack of intestinal fortitude and forward thinking"
"AB09"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The conservative right are parasites and bludgers on climate change."
"AB10"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change, but very closely followed by asylum seekers. Depressing beyond belief."
"AB11"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Maybe do something about climate change only that will work"
"AB12"	"climate change tweet"	"NOMINAL"	"SELECTION"	"We need real leadership on climate change and we need it now #qanda"
"AB13"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Until you slowdown population growth worldwide you’ll never stop climate change.."
"AB14"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Two govt ministers on successive #QandA episodes not listening to climate change concerns"
"AB15"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The LNP's blinkered attitude to energy and climate change is dangerous and stupid! Cheaper energy but at what cost? #QandA"
"AB16"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Lucky(?) we've got global warming to keep us warm, shame about wanting to get cool #qanda"
"AB17"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Sadly Eric and his elder statesmen will be dead by the time climate change bites us all!"
"AB18"	"climate change tweet"	"NOMINAL"	"SELECTION"	"we're not gonna fix global warming we're just gonna build ourselves giant sun proof domes with temp conditioning like in the Movies"
"AB19"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Eric Abetz, you are a FOOL! #ClimateChange is HAPPENING, whether you believe it or NOT! #QandA"
"AB20"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Hold up. Did Eric just conflate a major weather disaster with denying climate change?! #qanda"
"AB21"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Wow slamming climate change warnings about droughts whilst QLD and NSW farmers are suffering another horrendous drought #QandA brave."
"AB22"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Kinda like global warming, huh?"
"AB23"	"climate change tweet"	"NOMINAL"	"SELECTION"	"At least when climate change extinguishes humans Abetz will feel at one with the dinosaurs. #qanda"
"AB24"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#QandA. Erica bets climate change is a hoax."
"AB25"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Obviously Eric Abetz doesn't walk outside Visit rural area or forest Your figures are WRONG #qanda #ClimateChange"
"AB26"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is the successes of a look:"
"AB27"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#qanda Climate change deniers are morons!"
"AB28"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#FactCheck Abetz's claim that modeling has failed to predict #climatechange trends. #QandA"
"AB29"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Even children understand climate change is real and a problem. Have fun on your mining expedition?"
"AB30"	"climate change tweet"	"NOMINAL"	"SELECTION"	"nice, the AMA got something right and defended doctors instead of climate change"
"AB31"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#qanda I am more worried about global warming than I am about power bills. We are at a tipping point for the plant."
"AB32"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I shop in Kmart and I care about climate change!!"
"AB33"	"climate change tweet"	"NOMINAL"	"SELECTION"	"How to improve Nipa Hut designs for anti-earthquake and global warming tendencies (since PH may be submerged 50 yes from now)"
"AB34"	"climate change tweet"	"NOMINAL"	"SELECTION"	"We're still arguing about whether climate change is even real #qanda"
"AB35"	"climate change tweet"	"NOMINAL"	"SELECTION"	"You going to freeze while we living when global warming strikes you will be alone cause you think go early..."
"AB36"	"climate change tweet"	"NOMINAL"	"SELECTION"	"None of these important questions about creating a decent society will matter if we don't address climate change #qanda"
"AB37"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Then he can classify all climate change reports"
"AB38"	"climate change tweet"	"NOMINAL"	"SELECTION"	"NEWS FLASH: Betty Crocker causes Global Warming, keep driving your cars."
"AB39"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Surely all the climate change activists would want to invest in a windmill and battery."
